name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Bonamia mattogrossensis,Convolvulaceae,Bonamia,mattogrossensis,Hoehne,tax_nov,spec.,FALSE,"Anexos Mem. Inst. Butantan, Secc. Bot. 1, Fasc. 6: 45, pl. 4. 1922 ","Anexos Mem. Inst. Butantan, Secc. Bot.",1922,"1, Fasc. 6: 45, pl. 4",3497-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,34709-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/34709-2,IPNI,NA,NA,NA,NA,
Convolvulus hewittaceus,Convolvulaceae,Convolvulus,hewittaceus,Kuntze,tax_nov,spec.,FALSE,Revis. Gen. Pl. 3[3]: 213. 1898 [28 Sep 1898] ,Revis. Gen. Pl.,1898,3[3]: 213,1063-2,FALSE,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,64551-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/3432&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,28 Sep 1898,NA,NA,www.ipni.org/n/64551-2,IPNI,NA,NA,NA,NA,
Convolvulus hirsutiflorus,Convolvulaceae,Convolvulus,hirsutiflorus,Dammer,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 41. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 41",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,64552-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/207954&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,27 Aug 1897,NA,NA,www.ipni.org/n/64552-2,IPNI,NA,NA,NA,NA,
Convolvulus itatiayensis,Convolvulaceae,Convolvulus,itatiayensis,Kuntze,tax_nov,spec.,FALSE,Revis. Gen. Pl. 3[3]: 213. 1898 [28 Sep 1898] ,Revis. Gen. Pl.,1898,3[3]: 213,1063-2,FALSE,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,64559-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/3432&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,28 Sep 1898,NA,NA,www.ipni.org/n/64559-2,IPNI,NA,NA,NA,NA,
Convolvulus operculatus,Convolvulaceae,Convolvulus,operculatus,Gomes,tax_nov,spec.,FALSE,"Observ. Bot.-Med. Nonnullis Bras. Pl. 1: 23, t. 3. 1803 ",Observ. Bot.-Med. Nonnullis Bras. Pl.,1803,"1: 23, t. 3",18395-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,60458787-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/60458787-2,IPNI,NA,NA,NA,NA,
Cuscuta mantiqueirana,Convolvulaceae,Cuscuta,mantiqueirana,"Costea, S.S.Silva & Sim.-Bianch.",tax_nov,spec.,FALSE,"PhytoKeys 184: 33, figs. 1-4. 2021 [26 Oct 2021] [epublished]",PhytoKeys,2021,"184: 33, figs. 1-4",20011997-1,FALSE,holotype SP;isotype K;isotype MBM;isotype NY;isotype R;isotype SPF;isotype UB;isotype UEC;isotype WLU,R.Simão-Bianchini,1241,22 Apr 1999,"Minas Gerais (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);","Minas Gerais: Camanducaia, Monte Verde. Parasita com ramos desde alaranjados até vináceos, sempre em local sombreado e humido",77221396-1,TRUE,NA,26 Oct 2021,"Etymology: 'The specific epithet is a feminine adjective that comes from the name of the mountain range to which the species is apparently endemic. The word 'Mantiqueira' is derived from Tupi-Guarani meaning 'mountains that cry' alluding perhaps to the plethora of dripping water, streams and rivers that are present during the wet season with abundant rainfall'. doi:10.3897/phytokeys.184.69037",[epublished],www.ipni.org/n/77221396-1,IPNI,NA,NA,NA,NA,
Evolvulus aureobrunneus,Convolvulaceae,Evolvulus,aureobrunneus,Helwig,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 10: 103. 1927 ,Notizbl. Bot. Gart. Berlin-Dahlem,1927,10: 103,1019-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,102578-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1927&rft.spage=103&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/102578-2,IPNI,NA,NA,NA,NA,
Evolvulus aureus,Convolvulaceae,Evolvulus,aureus,D.Santos & Buril,tax_nov,spec.,FALSE,Syst. Bot. 48(1): 141. 2023 [28 Mar 2023] [epublished],Syst. Bot.,2023,48(1): 141,1295-2,FALSE,holotype NY;isotype PEUFR;isotype UB,"H.S.Irwin, H.Maxwell &amp; D.C.Wasshausen",18756,18 Jan 1968,"Bahia (Brazil Northeast, Brazil, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);","Goiás: Cocalzinho de Goiás, Serra dos Pirineus, 20 km N from Corumbá de Goiás on the road to Niquelândia, in valley of Rio Corumbá, 1150 m",77322904-1,TRUE,NA,28 Mar 2023,doi:10.1600/036364423X16758873924153 Etymology: 'The specific epithet refers to its golden trichomes when dried'.,[epublished],www.ipni.org/n/77322904-1,IPNI,NA,NA,NA,NA,
Evolvulus bahiensis,Convolvulaceae,Evolvulus,bahiensis,Helwig,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 10: 106. 1927 ,Notizbl. Bot. Gart. Berlin-Dahlem,1927,10: 106,1019-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,102583-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1927&rft.spage=106&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/102583-2,IPNI,NA,NA,NA,NA,
Evolvulus elaegnifolius,Convolvulaceae,Evolvulus,elaegnifolius,Dammer,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 38. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 38",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,102606-2,TRUE,NA,27 Aug 1897,NA,NA,www.ipni.org/n/102606-2,IPNI,NA,NA,NA,NA,
