name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Acianthera calopedilon,Orchidaceae,Acianthera,calopedilon,Toscano & Luer,tax_nov,spec.,FALSE,Lankesteriana 15(1): 79. 2015 [16 Mar 2015] [epublished],Lankesteriana,2015,15(1): 79,19040-2,FALSE,holotype UPCB,A.Toscano de Brito,2911,7 Oct 2011,"Paraná (Brazil South, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);Argentina Northeast (Southern South America, Southern America);",Paraná: road Alexandra to Matinhos,77150367-1,TRUE,NA,16 Mar 2015,NA,[epublished],www.ipni.org/n/77150367-1,IPNI,NA,NA,NA,NA,
Acianthera enianthera,Orchidaceae,Acianthera,enianthera,Chiron & Xim.Bols.,tax_nov,spec.,FALSE,Richardiana 10(4): 215 (-218; fig. 9). 2010 [Sep 2010] ,Richardiana,2010,10(4): 215 (-218; fig. 9),18831-2,FALSE,holotype MBML,Chiron,Chiron09889,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Mun. Domingos Martins, forêt proche de Arachê",77107302-1,TRUE,NA,Sep 2010,NA,NA,www.ipni.org/n/77107302-1,IPNI,NA,NA,NA,NA,
Acianthera gradeae,Orchidaceae,Acianthera,gradeae,Chiron & Benelli,tax_nov,spec.,FALSE,Richardiana 13: 66. 2012 [8 Nov 2012] [epublished],Richardiana,2012,13: 66,18831-2,FALSE,holotype HERBAM 4953,"A.Petini-Benelli, A.Grade &amp; H.S.Lima",APB963,Sep 2012,"Mato Grosso (Brazil West-Central, Brazil, Southern America)","Mun. Nova Bandeirante, Fazendinha da Lagoa, 304 m",77133107-1,TRUE,NA,8 Nov 2012,NA,[epublished],www.ipni.org/n/77133107-1,IPNI,NA,NA,NA,NA,
Acianthera hatakeyamae,Orchidaceae,Acianthera,hatakeyamae,Campacci & C.R.M.Silva,tax_nov,spec.,FALSE,Colet. Orquídeas Brasil. 19: 766. 2023 [5 Dec 2023] ,Colet. Orquídeas Brasil.,2023,19: 766,20004826-2,FALSE,holotype ESA,Roberto Fumio Hatakeyama,NA,Oct 2023,"São Paulo (Brazil Southeast, Brazil, Southern America)","Paraibuna, 1000 m",77334529-1,FALSE,NA,5 Dec 2023,Etymology: For Roberto Fumio Hatakeyama.,NA,www.ipni.org/n/77334529-1,IPNI,NA,NA,NA,NA,
Acianthera maculiglossa,Orchidaceae,Acianthera,maculiglossa,Chiron & N.Sanson,tax_nov,spec.,FALSE,"Richardiana 9(3): 121 (120-124; figs. 1-2, photo). 2009 [Jul 2009] ",Richardiana,2009,"9(3): 121 (120-124; figs. 1-2, photo)",18831-2,FALSE,holotype MBML,N.Sanson,s.n.,2004,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Mun. Conceição do Castelo, rio Ribeirão do Meio",77100167-1,TRUE,NA,Jul 2009,NA,NA,www.ipni.org/n/77100167-1,IPNI,NA,NA,NA,NA,
Acianthera velteniana,Orchidaceae,Acianthera,velteniana,Chiron & Xim.Bols.,tax_nov,spec.,FALSE,Richardiana 13: 278. 2013 [17 Jul 2013] [epublished],Richardiana,2013,13: 278,18831-2,FALSE,holotype MBML,L.Velten ex Chiron,13321,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Domingos Martins, 780 m",77132672-1,TRUE,NA,17 Jul 2013,NA,[epublished],www.ipni.org/n/77132672-1,IPNI,NA,NA,NA,NA,
Anacheilium × intermedium,Orchidaceae,Anacheilium,intermedium,Campacci,tax_nov,spec.,TRUE,Colet. Orquídeas Brasil. 12: 458. 2016 [28 Jul 2016] ,Colet. Orquídeas Brasil.,2016,12: 458,20004826-2,FALSE,holotype ESA 134856,Reginaldo de Vasconcelos Leitão,RVL 1878,May 2012,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Itabirinha, Serro do Pitengo, 1200 m",77157121-1,TRUE,NA,28 Jul 2016,NA,NA,www.ipni.org/n/77157121-1,IPNI,NA,NA,NA,NA,
Anacheilium schunkianum,Orchidaceae,Anacheilium,schunkianum,Campacci & P.A.Harding,tax_nov,spec.,FALSE,Lindleyana 21(2): 11 (-13; figs. 1-3). 2008 [22 Aug 2008] [in Orchids (West Palm Beach) 77(9)],Lindleyana,2008,21(2): 11 (-13; figs. 1-3),3675-2,FALSE,holotype SP,Vital Schunk,MAC-1686,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Alfredo Chaves, São Bento de Urânia, 800m",77097977-1,TRUE,NA,22 Aug 2008,NA,[in Orchids (West Palm Beach) 77(9)],www.ipni.org/n/77097977-1,IPNI,NA,NA,NA,NA,
Anacheilium terassanianum,Orchidaceae,Anacheilium,terassanianum,Campacci & P.A.Harding,tax_nov,spec.,FALSE,Lindleyana 21(2): 13 (figs. 5-7). 2008 [22 Aug 2008] [in Orchids (West Palm Beach) 77(9)],Lindleyana,2008,21(2): 13 (figs. 5-7),3675-2,FALSE,holotype SP,Waldomiro Terassan,MAC-1680,NA,"São Paulo (Brazil Southeast, Brazil, Southern America)","Juquiá, 200-300m",77097978-1,TRUE,NA,22 Aug 2008,NA,[in Orchids (West Palm Beach) 77(9)],www.ipni.org/n/77097978-1,IPNI,NA,NA,NA,NA,
Anathallis bolsanelloi,Orchidaceae,Anathallis,bolsanelloi,Chiron & V.P.Castro,tax_nov,spec.,FALSE,"Richardiana 9(1): 4 (-7, 16-17; fig. 1, photos a & b). 2008 [Jan 2009 publ. 24 Dec 2008] ",Richardiana,2008,"9(1): 4 (-7, 16-17; fig. 1, photos a & b)",18831-2,FALSE,holotype SP,Chiron,08184,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Mun. Domingos Martins, Biriricas, 200-600 m",77095155-1,TRUE,NA,Jan 2009 publ. 24 Dec 2008,Named after Renato Bolsanello who discovered this species.,NA,www.ipni.org/n/77095155-1,IPNI,NA,NA,NA,NA,
